"CaseNumber","OccurredOn","Offense","Offense_IBR_Code","Offense_IBR_CrimeAgainst","OffenseCompleted","LocationType","ReportingAgency","PostalCode","Division","Beat","ReportingArea","Municipality"
"25-0013238","2025 Mar 14 05:00:00 AM","Murder","09A","Person","true","Residence / Home","Prince George's County Police","20744","IV","K6","0619","PG COUNTY"
"26-0017412","2026 Apr 03 04:14:47 PM","Murder","09A","Person","true","Residence / Home","Prince George's County Police","20745","IV","J3","0517","PG COUNTY"
"25-0022275","2025 Apr 28 01:53:00 AM","Murder","09A","Person","true","Residence / Home","Prince George's County Police","20746","IV","K3","0431","PG COUNTY"
"24-0054257","2024 Sep 13 10:00:00 PM","Murder","09A","Person","true","Residence / Home","Prince George's County Police","20748","IV","K1","0505","PG COUNTY"
"25-0016210","2025 Mar 28 10:41:00 PM","Murder","09A","Person","true","Parking Lot / Garage","Prince George's County Police","20746","IV","K3","0431","PG COUNTY"
"25-0005865","2025 Feb 02 06:50:58 PM","Murder","09A","Person","true","Residence / Home","Prince George's County Police","20772","V","F6","0740","PG COUNTY"
"26-0001276","2026 May 09 03:39:00 PM","Murder","09A","Person","true","Parking Lot / Garage","Laurel City Police","20707","VI","LB6","09121","LAUREL"
"25-0000906","2025 Apr 01 01:27:00 AM","Murder","09A","Person","true","Residence / Home","Laurel City Police","20707","VI","LB1","09520","LAUREL"
"24-0074185","2024 Dec 12 10:58:00 PM","Murder","09A","Person","true","Residence / Home","Prince George's County Police","20743","VIII","H3","0405","PG COUNTY"
"25-0015560","2025 Mar 25 10:23:13 PM","Murder","09A","Person","true","Service / Gas Station","Prince George's County Police","20747","VIII","H6","0440","PG COUNTY"
"25-0067214","2025 Dec 03 11:50:50 AM","Murder","09A","Person","true","Gambling Facility - Casino, Race Track, etc.","Prince George's County Police","20745","IX","J41","6010","PG COUNTY"
"25-0025398","2025 May 02 12:00:14 AM","Rape","11B","Person","true","Residence / Home","Prince George's County Police","20784","I","B1","0234","PG COUNTY"
"26-0004910","2026 Jan 27 10:00:00 PM","Rape","11A","Person","true","Other / Unknown","Prince George's County Police","20782","I","B6","0214","COLLEGE PARK"
"26-0000959","2026 Apr 21 12:01:00 AM","Rape","11A","Person","true","Residence / Home","Hyattsville City Police","20782","I","A5","01455","HYATTSVILLE"
"25-0014794","2025 Mar 18 03:20:07 PM","Rape","11B","Person","true","Residence / Home","Prince George's County Police","20782","I","A2","0135","PG COUNTY"
"25-0012001","2024 Dec 30 12:00:02 PM","Rape","11A","Person","true","Residence / Home","Bladensburg Police","20710","I","B28","0242","BLADENSBURG"
"26-0000910","2026 Apr 19 11:00:00 PM","Rape","11A","Person","true","Residence / Home","Greenbelt Police","20770","I","GB2","0207","GREENBELT"
"25-0050941","2025 Sep 10 01:00:00 AM","Rape","11A","Person","true","Parking Lot / Garage","Prince George's County Police","20740","I","B63","0219","COLLEGE PARK"
"24-0003189","2024 Dec 09 05:00:00 PM","Rape","11A","Person","true","Residence / Home","Greenbelt Police","20770","I","GB2","0207","GREENBELT"
"25-0001430","2025 Jun 21 08:30:00 PM","Rape","11A","Person","true","Residence / Home","Greenbelt Police","20770","I","GB2","0209","GREENBELT"
"25-0044591","2025 Aug 09 03:00:00 PM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20721","II","E2","0859","PG COUNTY"
"26-0010369","2026 Feb 06 11:00:00 PM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20715","II","Out Of City/Town","2221","BOWIE"
"25-0010944","2025 Feb 22 06:00:00 PM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20774","II","E5","0314","PG COUNTY"
"25-0043632","2025 Aug 02 06:00:00 PM","Rape","11A","Person","true","Residence / Home","Bowie City Police","20716","II","E11","2211","BOWIE"
"25-0059907","2025 Sep 21 05:00:00 AM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20721","II","E1","0870","PG COUNTY"
"25-0026910","2025 Apr 27 10:00:00 PM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20774","II","E2","0858","PG COUNTY"
"25-0035505","2025 Jun 28 09:00:00 PM","Rape","11B","Person","true","Residence / Home","Prince George's County Police","20774","II","E5","0710","PG COUNTY"
"25-0026911","2025 Apr 22 04:30:00 PM","Rape","11A","Person","true","Elementary / Secondary School","Prince George's County Police","20721","II","E2","0856","PG COUNTY"
"26-0038541","2026 Jul 18 10:57:00 PM","Rape","11A","Person","true","Highway / Road / Alley","Prince George's County Police","20785","II","E2","0858","PG COUNTY"
"25-0018994","2025 Apr 10 09:36:00 AM","Murder","09A","Person","true","Commercial / Office Building","Prince George's County Police","20737","I","B4","0234","PG COUNTY"
"25-0022540","2025 Apr 27 07:00:00 AM","Murder","09A","Person","true","Residence / Home","Prince George's County Police","20740","I","B7","0204","COLLEGE PARK"
"24-0048487","2024 Aug 18 09:50:00 PM","Murder","09A","Person","true","Parking Lot/Garage","Prince George's County Police","20706","I","B4","0236","PG COUNTY"
"24-0055707","2024 Sep 20 01:10:00 PM","Murder","09A","Person","true","Highway/Road/Alley","Prince George's County Police","20774","II","E2","0858","PG COUNTY"
"25-0049865","2025 Sep 07 06:20:27 PM","Murder","09A","Person","true","Residence / Home","Prince George's County Police","20720","II","D5","0844","PG COUNTY"
"25-0030846","2025 Jun 07 04:00:07 AM","Murder","09A","Person","true","Parking Lot / Garage","Prince George's County Police","20785","III","G4","0313","PG COUNTY"
"24-0062789","2024 Oct 22 09:26:00 AM","Murder","09A","Person","true","Highway/Road/Alley","Prince George's County Police","20785","III","G5","0303","PG COUNTY"
"25-0028569","2025 May 27 09:34:00 PM","Murder","09A","Person","true","Residence / Home","Prince George's County Police","20744","IV","K6","0605","PG COUNTY"
"25-0046207","2025 Aug 20 02:00:00 PM","Murder","09A","Person","true","Highway / Road / Alley","Prince George's County Police","20745","IV","J1","0524","PG COUNTY"
"25-0026607","2025 May 19 12:15:00 AM","Murder","09A","Person","true","Residence / Home","Prince George's County Police","20744","IV","K6","0615","PG COUNTY"
"26-0000985","2026 Jan 03 02:10:00 AM","Murder","09A","Person","true","Parking Lot / Garage","Prince George's County Police","20748","IV","K3","0508","PG COUNTY"
"25-0071591","2025 Dec 27 11:45:00 PM","Murder","09A","Person","true","Residence / Home","Prince George's County Police","20707","VI","C6","0969","PG COUNTY"
"25-0040942","2025 Jul 25 10:18:00 PM","Murder","09A","Person","true","Service / Gas Station","Prince George's County Police","20708","VI","C5","0904","PG COUNTY"
"24-0075334","2024 Dec 18 03:00:00 PM","Murder","09A","Person","true","Parking Lot / Garage","Prince George's County Police","20743","VIII","H3","0405","PG COUNTY"
"24-0068482","2024 Nov 15 05:45:03 PM","Murder","09A","Person","true","Residence/Home","Prince George's County Police","20746","VIII","H5","0427","PG COUNTY"
"24-0074302","2024 Dec 13 04:00:43 PM","Murder","09A","Person","true","Parking Lot / Garage","Prince George's County Police","20746","VIII","H5","0427","PG COUNTY"
"25-0032046","2025 Jun 13 01:00:00 AM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20740","I","B63","0206","COLLEGE PARK"
"25-0023611","2025 May 04 04:01:22 AM","Rape","11B","Person","true","Residence / Home","Prince George's County Police","20784","I","B4","0237","PG COUNTY"
"26-0010630","2025 Oct 31 04:01:20 AM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20784","I","B2","0243","PG COUNTY"
"26-0000265","2026 Jan 23 08:00:00 PM","Rape","11A","Person","true","Residence / Home","Hyattsville City Police","20782","I","C3","01763","HYATTSVILLE"
"25-0043201","2025 Aug 05 01:00:00 AM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20783","I","A4","0110","PG COUNTY"
"26-0001483","2026 Jun 07 04:38:00 AM","Rape","11A","Person","true","Residence / Home","Hyattsville City Police","20782","I","B3","01643","HYATTSVILLE"
"24-0055043","2024 Aug 18 10:00:00 PM","Rape","11A","Person","true","Restaurant","Prince George's County Police","20783","I","A6","0111","PG COUNTY"
"26-0036442","2026 Jan 25 10:00:00 PM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20783","I","A4","0110","PG COUNTY"
"26-0027318","2026 May 22 11:00:04 PM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20772","I","A7","0107","PG COUNTY"
"26-0001529","2026 Jun 26 03:57:00 PM","Rape","11A","Person","true","Residence / Home","Greenbelt Police","20770","I","GB2","0207","GREENBELT"
"25-0045633","2025 Jul 17 08:36:03 PM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20706","II","D1","0825","PG COUNTY"
"25-0049293","2025 Sep 04 04:37:03 PM","Rape","11A","Person","true","Field / Woods","Prince George's County Police","20706","II","D1","0825","PG COUNTY"
"24-0067841","2024 Nov 11 11:37:00 PM","Rape","11A","Person","false","Residence/Home","Bowie City Police","20715","II","D31","0804","BOWIE"
"25-0030759","2025 Jun 05 12:00:00 PM","Rape","11B","Person","true","Residence / Home","Bowie City Police","20716","II","E11","0866","BOWIE"
"25-0056337","2025 Oct 01 10:30:00 PM","Rape","11B","Person","false","Residence / Home","Bowie City Police","20716","II","D41","0834","BOWIE"
"26-0038705","2026 Jul 21 01:30:00 PM","Rape","11A","Person","true","Hospital","Prince George's County Police","20774","II","E3","0701","PG COUNTY"
"26-0014102","2025 Jul 09 07:00:00 PM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20785","II","E2","0857","PG COUNTY"
"26-0022466","2026 Apr 23 01:00:00 AM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20774","II","E2","0858","PG COUNTY"
"25-0030759","2025 Jun 05 12:00:00 PM","Rape","11A","Person","true","Residence / Home","Bowie City Police","20716","II","E11","0866","BOWIE"
"26-0002520","2026 Jan 14 12:30:00 AM","Murder","09A","Person","true","Parking Lot / Garage","Prince George's County Police","20783","I","A4","0110","PG COUNTY"
"24-0063255","2024 Oct 24 06:41:44 AM","Murder","09A","Person","true","Highway/Road/Alley","Prince George's County Police","20737","I","B4","0236","PG COUNTY"
"25-0045588","2025 Aug 17 12:25:00 PM","Murder","09A","Person","true","Highway / Road / Alley","Prince George's County Police","20783","I","A3","0125","PG COUNTY"
"25-0042455","2025 Aug 01 04:49:00 PM","Murder","09A","Person","true","Residence / Home","Prince George's County Police","20774","II","E3","0701","PG COUNTY"
"24-0071514","2024 Nov 30 12:44:00 AM","Murder","09A","Person","true","Restaurant","Prince George's County Police","20774","II","E2","0858","PG COUNTY"
"24-0077916","2024 Dec 31 08:10:56 PM","Murder","09A","Person","true","Service / Gas Station","Prince George's County Police","20785","III","G6","0307","PG COUNTY"
"25-0036656","2025 Jul 05 03:36:00 PM","Murder","09A","Person","true","Residence / Home","Prince George's County Police","20785","III","G7","3130","PG COUNTY"
"24-0064889","2024 Oct 31 11:23:18 AM","Murder","09A","Person","true","Parking Lot/Garage","Prince George's County Police","20785","III","G7","3130","PG COUNTY"
"26-0041818","2026 Aug 06 04:38:00 PM","Murder","09A","Person","true","Other / Unknown","Prince George's County Police","20785","III","G5","0303","PG COUNTY"
