"CaseNumber","OccurredOn","Offense","Offense_IBR_Code","Offense_IBR_CrimeAgainst","OffenseCompleted","LocationType","ReportingAgency","PostalCode","Division","Beat","ReportingArea","Municipality"
"25-0068708","2025 Dec 05 01:30:00 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20774","II","E5","0711","PG COUNTY"
"25-0070021","2025 Dec 18 01:30:00 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20740","I","B6","0221","COLLEGE PARK"
"25-0070456","2025 Dec 20 09:33:18 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20745","IV","J1","0516","PG COUNTY"
"25-0071117","2025 Dec 24 10:40:00 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20744","IV","K6","0615","PG COUNTY"
"26-0000328","2025 Dec 20 12:00:00 AM","Residential Burglary","220","Property","true","Commercial / Office Building","Prince George's County Police","20745","IV","J2","0511","PG COUNTY"
"26-0001155","2026 Jan 07 02:50:37 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20744","VII","W4","0628","PG COUNTY"
"26-0001566","2026 Jun 08 04:59:00 AM","Residential Burglary","220","Property","true","Residence / Home","Laurel City Police","20707","VI","LB1","09520","LAUREL"
"26-0001574","2026 Jun 23 03:10:00 AM","Residential Burglary","220","Property","true","Residence / Home","Hyattsville City Police","20781","I","A1","01501","HYATTSVILLE"
"26-0001732","2026 Jul 07 03:00:00 PM","Residential Burglary","220","Property","true","Residence / Home","Hyattsville City Police","20781","I","A2","01382","HYATTSVILLE"
"26-0001959","2026 Jul 30 05:51:00 PM","Residential Burglary","220","Property","true","Residence / Home","Hyattsville City Police","20782","I","B5","01325","HYATTSVILLE"
"26-0002183","2026 Aug 02 12:00:20 PM","Residential Burglary","220","Property","true","Residence / Home","Bowie City Police","20715","II","BP2","","BOWIE"
"26-0002242","2026 Aug 09 11:00:00 PM","Residential Burglary","220","Property","true","Residence / Home","Laurel City Police","20707","VI","LB2","0953","LAUREL"
"26-0003205","2026 Jan 12 09:03:57 AM","Residential Burglary","220","Property","true","Rental Storage Facility","Prince George's County Police","20745","IV","J2","0511","PG COUNTY"
"26-0004560","2026 Jan 23 01:13:00 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20708","VI","C4","0916","PG COUNTY"
"26-0005071","2025 Dec 17 10:00:00 PM","Residential Burglary","220","Property","true","Rental Storage Facility","Prince George's County Police","20745","IV","J2","0511","PG COUNTY"
"26-0005442","2026 Feb 01 12:04:00 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20708","VI","C5","0905","PG COUNTY"
"26-0005740","2026 Jan 03 12:00:00 PM","Residential Burglary","220","Property","true","Rental Storage Facility","Prince George's County Police","20748","IV","K5","0510","PG COUNTY"
"26-0006500","2026 Feb 04 12:00:39 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20912","I","A3","0116","PG COUNTY"
"26-0006939","2025 Dec 01 10:00:00 AM","Residential Burglary","220","Property","true","Commercial / Office Building","Prince George's County Police","20745","IV","J2","0511","PG COUNTY"
"26-0008057","2026 Feb 16 10:30:00 AM","Residential Burglary","220","Property","true","Rental Storage Facility","Prince George's County Police","20745","IV","J2","0511","PG COUNTY"
"26-0012448","2026 Mar 11 04:45:00 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20743","VIII","H2","0415","PG COUNTY"
"26-0012526","2026 Mar 11 10:00:11 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20708","VI","C5","0904","PG COUNTY"
"26-0012794","2026 Mar 13 02:45:10 AM","Residential Burglary","220","Property","false","Residence / Home","Prince George's County Police","20744","VII","W1","0620","PG COUNTY"
"26-0012903","2026 Mar 13 05:50:38 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20705","VI","C3","0931","PG COUNTY"
"26-0016863","2026 Mar 31 05:00:00 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20743","VIII","H1","0408","PG COUNTY"
"26-0017420","2026 Apr 01 05:24:58 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20774","II","E3","0702","PG COUNTY"
"26-0018150","2026 Apr 02 01:30:00 PM","Residential Burglary","220","Property","true","Rental Storage Facility","Prince George's County Police","20735","V","F3","0732","PG COUNTY"
"26-0019147","2026 Apr 11 11:16:00 PM","Residential Burglary","220","Property","true","Hotel / Motel","Prince George's County Police","20745","IX","J41","6010","PG COUNTY"
"26-0019700","2026 Apr 14 05:20:38 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20748","IV","K3","0508","PG COUNTY"
"26-0020608","2026 Apr 18 08:31:41 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20748","IV","K2","0501","PG COUNTY"
"26-0021927","2026 Apr 25 11:00:23 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20705","VI","C3","0931","PG COUNTY"
"25-0065554","2025 Nov 24 04:02:20 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20745","IV","J3","0517","PG COUNTY"
"25-0065696","2025 Nov 24 07:08:23 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20746","VIII","H5","0427","PG COUNTY"
"25-0066522","2025 Nov 29 05:00:00 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20748","IV","K3","0508","PG COUNTY"
"25-0066927","2025 Nov 29 10:30:20 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20782","I","A2","0131","PG COUNTY"
"25-0067087","2025 Dec 01 06:55:13 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20785","III","G5","0332","PG COUNTY"
"25-0067489","2025 Nov 30 12:01:00 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20746","IV","K2","0429","PG COUNTY"
"25-0068409","2025 Dec 10 01:22:00 AM","Residential Burglary","220","Property","true","Commercial / Office Building","Prince George's County Police","20783","I","A3","0125","PG COUNTY"
"25-0070085","2025 Dec 18 08:02:46 PM","Residential Burglary","220","Property","false","Residence / Home","Prince George's County Police","20705","VI","C2","0917","PG COUNTY"
"25-0071952","2025 Dec 30 03:29:33 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20748","IV","K1","0504","PG COUNTY"
"26-0000051","2026 Jan 10 03:45:26 PM","Residential Burglary","220","Property","true","Residence / Home","Bladensburg Police","20710","I","B28","02421","BLADENSBURG"
"26-0000064","2026 Jan 08 01:30:00 PM","Residential Burglary","220","Property","false","Residence / Home","Hyattsville City Police","20782","I","B5","01325","HYATTSVILLE"
"26-0000393","2026 Feb 24 03:00:00 PM","Residential Burglary","220","Property","false","Residence / Home","Greenbelt Police","20770","VI","GB1","0951","GREENBELT"
"26-0000406","2026 Feb 16 04:49:00 PM","Residential Burglary","220","Property","true","Residence / Home","Laurel City Police","20707","VI","LB1","09520","LAUREL"
"26-0000567","2026 Jan 02 07:00:00 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20745","IV","J2","0512","PG COUNTY"
"26-0000738","2026 Mar 22 03:32:14 AM","Residential Burglary","220","Property","true","Residence / Home","Bowie City Police","20716","II","BP4","","BOWIE"
"26-0001418","2026 Jun 05 04:44:24 PM","Residential Burglary","220","Property","true","Residence / Home","Hyattsville City Police","20782","I","B5","01655","HYATTSVILLE"
"26-0001494","2026 May 30 12:00:00 AM","Residential Burglary","220","Property","true","Residence / Home","Laurel City Police","20707","VI","LB3","09541","LAUREL"
"26-0001495","2026 Jan 08 06:55:00 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20785","III","G4","0313","PG COUNTY"
"26-0001767","2026 Jun 09 12:00:00 AM","Residential Burglary","220","Property","true","Residence / Home","Hyattsville City Police","20781","I","B2","01332","HYATTSVILLE"
"26-0001924","2026 Jul 26 09:27:24 PM","Residential Burglary","220","Property","false","Residence / Home","Hyattsville City Police","20783","I","C3","01193","HYATTSVILLE"
"26-0002676","2026 Jan 14 11:30:00 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20740","VII","W4","0655","PG COUNTY"
"26-0003511","2026 Jan 10 12:01:00 AM","Residential Burglary","220","Property","true","Rental Storage Facility","Prince George's County Police","20745","IV","J2","0511","PG COUNTY"
"26-0003698","2026 Jan 20 02:00:00 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20706","II","D2","0827","PG COUNTY"
"26-0004192","2026 Jan 22 01:26:00 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20706","II","D2","0815","PG COUNTY"
"26-0005891","2025 Dec 20 08:00:00 AM","Residential Burglary","220","Property","true","Commercial / Office Building","Prince George's County Police","20745","IV","J2","0511","PG COUNTY"
"26-0007798","2026 Feb 14 04:00:00 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20747","VIII","H2","0441","PG COUNTY"
"26-0008026","2026 Feb 14 12:00:00 AM","Residential Burglary","220","Property","true","Other / Unknown","Prince George's County Police","20781","I","B3","0239","PG COUNTY"
"26-0008821","2026 Feb 13 05:00:00 PM","Residential Burglary","220","Property","true","Commercial / Office Building","Prince George's County Police","20745","IV","J2","0511","PG COUNTY"
"26-0010364","2026 Feb 28 08:00:00 PM","Residential Burglary","220","Property","true","Rental Storage Facility","Prince George's County Police","20746","IV","K4","0428","PG COUNTY"
"26-0010759","2026 Mar 03 08:10:00 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20747","VIII","H3","0411","PG COUNTY"
"26-0014957","2026 Mar 22 11:30:00 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20746","IV","K4","0443","PG COUNTY"
"26-0016256","2026 Mar 28 02:30:00 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20705","VI","C3","0931","PG COUNTY"
"25-0058970","2025 Oct 22 05:00:00 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20743","III","G3","0304","PG COUNTY"
"25-0060193","2025 Oct 28 05:00:00 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20783","I","A6","0111","PG COUNTY"
"25-0061986","2025 Nov 05 09:24:00 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20785","III","G4","0314","PG COUNTY"
"25-0063452","2025 Nov 13 02:18:10 PM","Residential Burglary","220","Property","true","Rental Storage Facility","Prince George's County Police","20745","IV","J2","0511","PG COUNTY"
"25-0066401","2025 Nov 28 05:30:00 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20783","I","A3","0116","PG COUNTY"
"25-0070710","2025 Dec 16 06:00:00 PM","Residential Burglary","220","Property","true","Other / Unknown","Prince George's County Police","20785","III","G5","0332","PG COUNTY"
"25-0071079","2025 Dec 24 05:49:00 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20746","VIII","H5","0419","PG COUNTY"
"25-0071141","2025 Dec 25 02:00:00 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20746","VIII","H5","0419","PG COUNTY"
"25-0071728","2025 Dec 28 03:00:00 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20740","I","B7","0158","COLLEGE PARK"
"26-0000589","2026 Jan 03 04:37:57 PM","Residential Burglary","220","Property","true","Parking Lot / Garage","Prince George's County Police","20785","III","G5","0332","PG COUNTY"
"26-0000848","2026 Jun 06 10:00:00 PM","Residential Burglary","220","Property","true","Residence / Home","Bladensburg Police","20710","I","B2","02650","BLADENSBURG"
"26-0000942","2026 Apr 17 02:00:00 PM","Residential Burglary","220","Property","true","Residence / Home","Hyattsville City Police","20782","I","B4","01324","HYATTSVILLE"
"26-0000958","2026 Apr 25 06:30:00 AM","Residential Burglary","220","Property","true","Residence / Home","Greenbelt Police","20770","VI","GB1","0951","GREENBELT"
"26-0001180","2026 Apr 24 12:00:00 AM","Residential Burglary","220","Property","true","Residence / Home","Laurel City Police","20707","VI","LB3","09541","LAUREL"
"26-0001257","2026 May 22 10:19:39 AM","Residential Burglary","220","Property","true","Residence / Home","Hyattsville City Police","20782","I","A5","01335","HYATTSVILLE"
"26-0001415","2026 May 19 03:56:00 PM","Residential Burglary","220","Property","true","Residence / Home","Bowie City Police","20720","II","BP1","","BOWIE"
"26-0001744","2026 Jul 18 11:59:13 PM","Residential Burglary","220","Property","false","Residence / Home","Greenbelt Police","20770","I","GB2","0207","GREENBELT"
"26-0001776","2026 Jun 29 05:00:00 PM","Residential Burglary","220","Property","true","Residence / Home","Hyattsville City Police","20783","I","C3","01193","HYATTSVILLE"
"26-0001915","2026 Jul 25 09:23:00 PM","Residential Burglary","220","Property","true","Residence / Home","Hyattsville City Police","20782","I","C3","01603","HYATTSVILLE"
"26-0002003","2026 Jul 17 02:44:00 PM","Residential Burglary","220","Property","false","Residence / Home","Laurel City Police","20707","VI","LB2","0953","LAUREL"
"26-0002014","2026 Jul 19 07:53:35 PM","Residential Burglary","220","Property","true","Residence / Home","Bowie City Police","20720","II","BP1","","BOWIE"
"26-0002456","2026 Jan 13 07:33:00 PM","Residential Burglary","220","Property","true","Parking Lot / Garage","Prince George's County Police","20785","III","G5","0332","PG COUNTY"
"26-0003110","2026 Jan 16 09:41:30 PM","Residential Burglary","220","Property","false","Residence / Home","Prince George's County Police","20785","III","G4","0314","PG COUNTY"
"26-0004036","2026 Jan 19 05:00:00 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20720","II","D5","0844","PG COUNTY"
"26-0005795","2026 Feb 03 07:30:45 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20785","III","G5","0332","PG COUNTY"
"26-0007742","2026 Jan 15 09:00:00 AM","Residential Burglary","220","Property","true","Commercial / Office Building","Prince George's County Police","20745","IV","J2","0511","PG COUNTY"
"26-0007910","2026 Feb 15 09:00:00 AM","Residential Burglary","220","Property","true","Commercial / Office Building","Prince George's County Police","20745","IV","J2","0511","PG COUNTY"
"26-0008036","2026 Feb 15 10:00:00 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20784","I","B5","0238","PG COUNTY"
"26-0008458","2026 Feb 14 11:00:14 AM","Residential Burglary","220","Property","true","Rental Storage Facility","Prince George's County Police","20745","IV","J2","0511","PG COUNTY"
"26-0009539","2026 Feb 24 05:47:00 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20774","II","E4","0706","PG COUNTY"
"26-0009955","2026 Feb 25 02:00:00 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20904","VI","C2","0928","PG COUNTY"
"26-0010524","2026 Mar 02 01:33:00 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20783","I","A4","0110","PG COUNTY"
"25-0070123","2025 Dec 18 08:45:52 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20740","I","B63","0219","COLLEGE PARK"
"25-0070663","2025 Dec 20 09:30:00 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20745","IV","J3","0517","PG COUNTY"
"25-0070707","2025 Dec 21 10:46:00 PM","Residential Burglary","220","Property","true","Rental Storage Facility","Prince George's County Police","20748","IV","K3","0509","PG COUNTY"
"26-0000125","2026 Jan 16 07:09:00 PM","Residential Burglary","220","Property","true","Residence / Home","Greenbelt Police","20770","II","GB3","0877","GREENBELT"
"26-0000143","2026 Jan 17 01:09:00 PM","Residential Burglary","220","Property","false","Commercial / Office Building","Hyattsville City Police","20782","I","B5","01655","HYATTSVILLE"
"26-0000261","2025 Dec 14 01:00:00 PM","Residential Burglary","220","Property","true","Rental Storage Facility","Prince George's County Police","20748","IV","K3","0509","PG COUNTY"
"26-0000332","2025 Sep 23 02:00:00 PM","Residential Burglary","220","Property","true","Rental Storage Facility","Prince George's County Police","20743","III","G3","0304","PG COUNTY"
"26-0000423","2025 Jan 02 10:00:00 PM","Residential Burglary","220","Property","true","Commercial / Office Building","Prince George's County Police","20743","III","G7","0407","PG COUNTY"
"26-0000534","2026 Mar 14 05:00:00 PM","Residential Burglary","220","Property","false","Residence / Home","Greenbelt Police","20770","I","GB2","0207","GREENBELT"
"26-0000609","2026 Jan 03 04:00:00 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20748","IV","K5","0608","PG COUNTY"
"26-0001357","2026 Jun 08 08:19:00 PM","Residential Burglary","220","Property","true","Residence / Home","Greenbelt Police","20770","I","GB2","0207","GREENBELT"
"26-0001745","2026 Jul 19 12:40:00 AM","Residential Burglary","220","Property","false","Residence / Home","Greenbelt Police","20770","I","GB2","0207","GREENBELT"
"26-0001788","2026 Jun 29 01:43:00 PM","Residential Burglary","220","Property","true","Residence / Home","Laurel City Police","20707","VI","LB1","09520","LAUREL"
"26-0001906","2026 Jul 05 08:15:51 PM","Residential Burglary","220","Property","true","Residence / Home","Bowie City Police","20715","II","BP2","","BOWIE"
"26-0001927","2026 Jul 22 12:00:00 AM","Residential Burglary","220","Property","true","Residence / Home","Hyattsville City Police","20783","I","C3","01193","HYATTSVILLE"
"26-0001982","2026 Jul 09 09:00:00 AM","Residential Burglary","220","Property","true","Residence / Home","Laurel City Police","20707","VI","LB5","09551","LAUREL"
"26-0003776","2026 Jan 20 12:30:00 AM","Residential Burglary","220","Property","true","Parking Lot / Garage","Prince George's County Police","20785","III","G5","0332","PG COUNTY"
"26-0004179","2026 Jan 21 04:00:10 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20782","I","A6","0118","PG COUNTY"
"26-0004882","2026 Jan 27 10:40:43 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20783","I","A6","0111","PG COUNTY"
"26-0006659","2026 Jan 28 03:00:00 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20743","III","G3","0304","PG COUNTY"
"26-0008403","2026 Feb 17 11:44:00 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20705","VI","C2","0917","PG COUNTY"
"26-0008824","2026 Feb 13 05:00:00 PM","Residential Burglary","220","Property","true","Commercial / Office Building","Prince George's County Police","20745","IV","J2","0511","PG COUNTY"
"26-0009862","2026 Feb 25 02:55:27 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20706","I","B5","0256","PG COUNTY"
"26-0010601","2025 Nov 30 05:00:14 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20708","VI","C5","0904","PG COUNTY"
"26-0012911","2026 Mar 13 03:46:00 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20740","I","B7","0103","PG COUNTY"
"26-0014146","2026 Mar 18 06:00:00 PM","Residential Burglary","220","Property","true","Rental Storage Facility","Prince George's County Police","20745","IV","J2","0511","PG COUNTY"
"26-0014920","2026 Mar 22 07:00:00 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20747","VIII","H6","0424","PG COUNTY"
"26-0016687","2026 Mar 29 12:00:00 AM","Residential Burglary","220","Property","true","Parking Lot / Garage","Prince George's County Police","20785","III","G5","0332","PG COUNTY"
"26-0017567","2026 Apr 04 06:50:50 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20772","II","E4","0717","PG COUNTY"
"26-0020540","2025 Oct 01 12:00:00 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20748","IV","K5","0607","PG COUNTY"
"26-0021674","2026 Apr 24 12:29:00 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20744","IV","J6","0621","PG COUNTY"
"26-0022639","2026 Apr 29 02:00:00 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20705","VI","C3","0931","PG COUNTY"
"26-0000370","2026 Feb 13 04:30:26 AM","Residential Burglary","220","Property","true","Residence / Home","Laurel City Police","20707","VI","LB6","09121","LAUREL"
"26-0000405","2026 Feb 17 03:30:00 AM","Residential Burglary","220","Property","true","Residence / Home","Bowie City Police","20720","II","BP1","","BOWIE"
"26-0000780","2026 Mar 27 12:02:00 PM","Residential Burglary","220","Property","true","Residence / Home","Laurel City Police","20707","VI","LB6","09121","LAUREL"
"26-0000975","2026 Jan 23 05:30:00 PM","Residential Burglary","220","Property","true","Residence / Home","Laurel City Police","20707","VI","LB1","09520","LAUREL"
"26-0001128","2026 Apr 24 11:43:45 AM","Residential Burglary","220","Property","true","Residence / Home","Bowie City Police","20715","II","BP2","","BOWIE"
"26-0001728","2026 Jul 06 07:00:11 PM","Residential Burglary","220","Property","true","Residence / Home","Hyattsville City Police","20781","I","A2","01382","HYATTSVILLE"
"26-0002003","2026 Jul 12 09:00:00 AM","Residential Burglary","220","Property","false","Residence / Home","Bowie City Police","20716","II","BP5","","BOWIE"
"26-0003504","2025 Aug 01 12:00:00 AM","Residential Burglary","220","Property","true","Rental Storage Facility","Prince George's County Police","20735","V","F2","0624","PG COUNTY"
"26-0004572","2026 Jan 24 10:00:00 AM","Residential Burglary","220","Property","true","Other / Unknown","Prince George's County Police","","VII","W2","0649","PG COUNTY"
"26-0006581","2026 Feb 08 02:04:00 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20748","IV","K3","0507","PG COUNTY"
"26-0010405","2026 Mar 01 03:21:00 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20746","III","G3","0304","PG COUNTY"
"26-0010873","2026 Mar 03 07:56:00 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20746","IV","K4","0443","PG COUNTY"
"26-0016387","2026 Mar 29 01:00:00 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20737","I","B3","0225","PG COUNTY"
"26-0017590","2026 Apr 02 04:00:00 PM","Residential Burglary","220","Property","true","Parking Lot / Garage","Prince George's County Police","20735","VII","W5","0630","PG COUNTY"
"26-0018105","2026 Apr 02 11:37:17 PM","Residential Burglary","220","Property","true","Elementary / Secondary School","Prince George's County Police","20623","V","F5","0742","PG COUNTY"
"26-0019479","2026 Apr 04 05:30:00 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20769","II","D2","0815","PG COUNTY"
"26-0019996","2026 Apr 15 07:30:48 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20705","VI","C3","0931","PG COUNTY"
"26-0022451","2026 Apr 28 02:30:00 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20746","VIII","H4","0421","PG COUNTY"
"26-0024218","2026 May 07 12:22:50 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20745","IV","J2","0511","PG COUNTY"
"26-0027495","2026 May 24 04:10:00 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20783","I","A6","0108","PG COUNTY"
"26-0029074","2026 Jun 01 01:09:00 PM","Residential Burglary","220","Property","true","Rental Storage Facility","Prince George's County Police","20748","IV","K3","0509","PG COUNTY"
"26-0029286","2026 May 29 09:00:00 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20746","VIII","H5","0427","PG COUNTY"
"26-0030719","2026 Jun 09 10:30:00 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20782","I","A2","0131","PG COUNTY"
"26-0034730","2025 Nov 27 02:00:00 PM","Residential Burglary","220","Property","true","Rental Storage Facility","Prince George's County Police","20745","IV","J2","0511","PG COUNTY"
"26-0034954","2025 Jan 01 12:14:01 PM","Residential Burglary","220","Property","true","Rental Storage Facility","Prince George's County Police","20745","IV","J2","0511","PG COUNTY"
"26-0036013","2026 Jul 04 12:00:19 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20774","II","E3","0701","PG COUNTY"
"26-0039556","2026 Jul 25 11:19:00 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20744","VII","W1","0643","PG COUNTY"
"26-0040917","2026 Aug 01 10:30:00 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20783","I","A3","0113","PG COUNTY"
"26-0043333","2026 Aug 14 10:00:00 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20744","IV","J6","0612","PG COUNTY"
"24-0003483","2024 Oct 26 11:59:00 PM","Other Burglary","220","Property","true","Church/Synagogue/Temple","Laurel City Police","20707","VI","LB3","09541","LAUREL"
"25-0040487","2025 Jul 22 07:00:05 PM","Other Burglary","220","Property","true","Other / Unknown","Prince George's County Police","20746","IV","K2","0429","PG COUNTY"
"26-0018105","2026 Apr 02 11:37:17 PM","Other Burglary","220","Property","true","Elementary / Secondary School","Prince George's County Police","20623","V","F5","0742","PG COUNTY"
"26-0018205","2026 Apr 07 07:30:45 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20706","I","B5","0256","PG COUNTY"
"26-0020178","2026 Apr 16 07:36:29 PM","Residential Burglary","220","Property","true","Commercial / Office Building","Prince George's County Police","20705","VI","C1","0940","PG COUNTY"
"26-0021910","2026 Apr 24 05:36:00 AM","Residential Burglary","220","Property","true","Church / Synagogue / Temple","Prince George's County Police","20783","I","A3","0116","PG COUNTY"
"26-0022448","2025 Nov 12 12:00:00 PM","Residential Burglary","220","Property","true","Rental Storage Facility","Prince George's County Police","20735","V","F2","0624","PG COUNTY"
"26-0022666","2026 Apr 27 09:25:00 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20744","IV","J4","0610","PG COUNTY"
"26-0022965","2026 Apr 23 12:00:00 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20743","III","G1","0321","PG COUNTY"
"26-0023451","2026 Apr 21 07:30:00 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20705","VI","C3","0930","PG COUNTY"
"26-0025348","2026 May 13 09:00:00 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20740","I","B6","0218","COLLEGE PARK"
"26-0025459","2026 May 13 07:30:14 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20744","VII","W1","0643","PG COUNTY"
"26-0026010","2026 May 16 05:00:00 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20740","I","B6","0214","COLLEGE PARK"
"26-0027142","2026 May 22 12:30:00 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20745","IV","K1","0504","PG COUNTY"
"26-0027868","2026 May 22 09:00:00 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20774","VIII","H7","0714","PG COUNTY"
"26-0029203","2026 Jun 01 09:10:45 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20782","I","A2","0135","PG COUNTY"
"26-0031965","2026 Jun 15 11:30:00 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20740","I","B7","0202","COLLEGE PARK"
"26-0032011","2026 Jun 16 10:59:00 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20746","IV","K4","0721","PG COUNTY"
"26-0032764","2026 Jun 19 10:30:30 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20708","VI","C4","0916","PG COUNTY"
"26-0034026","2026 Jun 26 04:26:00 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20747","VIII","H6","0424","PG COUNTY"
"26-0036644","2026 Jun 27 02:00:37 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20743","III","G3","0304","PG COUNTY"
"26-0037233","2026 Jul 13 01:00:00 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20782","I","A6","0118","PG COUNTY"
"26-0037538","2026 Jul 15 10:01:39 AM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20774","II","E3","0701","PG COUNTY"
"26-0037919","2026 Jul 13 12:00:00 PM","Residential Burglary","220","Property","true","Residence / Home","Prince George's County Police","20785","III","G5","0332","PG COUNTY"
